model.name,macs,params,memory_bytes,flops,acc@top1,acc@top5,error@top1,error@top5,acc@top1_static,acc@top5_static,error@top1_static,error@top5_static,mce@top1,mce@top5,rel_mce@top1,rel_mce@top5,mean_flip_rate,mean_flip_probability,fsgm_drop_acc_2_eps_0.0001,fsgm_drop_acc_inf_eps_0.0001,pgd_drop_acc_2_eps_0.0001,pgd_drop_acc_inf_eps_0.0001,traing_energy_consumption_kwh,eps,gpu_latency_gtx970,gpu_energy_watt_seconds_gtx970,gpu_latency_a100,gpu_energy_watt_seconds_a100,gpu_latency_rtx_quattro5000,gpu_energy_watt_seconds_rtx_quattro5000,cpu_latency_xeon_e31231,cpu_latency_xeon_w2155,cpu_avg_watt_xeon_w2155,cpu_watt_seconds_xeon_w2155,cpu_latency_i7-10610,cpu_avg_watt_i7-10610,cpu_watt_seconds_i7-10610,host_memory_bytes_max_mean_i7-10610,host_memory_bytes_max_std_i7-10610,host_memory_bytes_max_mean_xeon_w2155,host_memory_bytes_max_std_xeon_w2155,host_memory_bytes_max_mean_ws020,host_memory_bytes_max_std_ws020,device_memory_bytes_max_mean_ws020,device_memory_bytes_max_std_ws020,host_memory_bytes_max_mean_a100,host_memory_bytes_max_std_a100,device_memory_bytes_max_mean_a100,device_memory_bytes_max_std_a100
mobilenet_v2,314130496.0,3504872.0,14019488.0,628260992.0,71.87,90.286,28.129999999999995,9.713999999999999,71.878,90.286,28.122,9.713999999999999,0.8557240071866685,0.7627008250671227,1.1065882136312748,0.917006650277438,,,,,,,,,0.0088536119461059,0.7425443890698241,0.0084443068504333,0.510831517475586,0.0048385415077209,0.3221924911872558,0.0950046610832214,0.1162169424,40.97187347358744,4.7616258595,0.1351304599999999,15.357316699728544,2.07524127,480595968.0,1369091.293339345,1282532966.4,202088.5208908215,4256374784.0,88420.4877616042,1498284032.0,0.0,4505080627.2,160663.47888975887,2078277632.0,0.0
mobilenet_v3_large,225442456.0,5483032.0,21932128.0,450884912.0,74.044,91.342,25.956000000000003,8.658000000000001,74.042,91.34,25.958,8.659999999999997,0.753866125282855,0.6187163285286431,0.9430789865159462,0.7254790377292812,0.6504355252043148,0.0681591333333333,,,,,35.126,4.8828125e-07,0.0108906817436218,0.8500616398974609,0.0102101826667785,0.6346853703491212,0.005671011686325,0.3142622407167969,0.0693776082992553,0.0817593462,40.97607383998381,3.350177007,0.09526029,14.909018857700309,1.4202374599999998,484615782.4,961119.5703997707,1283931340.8,1638.4,4257191526.4,231858.2036414498,1498284032.0,0.0,4505872793.6,50405.7694221604,2078277632.0,0.0
mobilenet_v3_small,59367624.0,2542856.0,10171424.0,118735248.0,67.662,87.406,32.337999999999994,12.593999999999994,67.668,87.402,32.331999999999994,12.597999999999999,0.8282913948286721,0.7179747351444601,0.9248395831516956,0.7741399311951744,,,,,,,,,0.0089746642112731,0.6156337684887696,0.0087858176231384,0.4902694272998047,0.0047503604888916,0.242126314217041,0.032450783252716,0.0406829521,40.14751673588604,1.6333195003,0.04718254,14.959962308091086,0.70584902,486728499.2,465103.6406782471,1283932160.0,0.0,4257615872.0,0.0,1498284032.0,0.0,4506086604.8,268772.516385437,2078277632.0,0.0
resnet101,7833971712.0,44549160.0,178196640.0,15667943424.0,77.376,93.548,22.623999999999995,6.451999999999998,77.374,93.546,22.626000000000005,6.4539999999999935,0.706918786474477,0.5587300946419977,0.9284025770521598,0.6877070224685589,,,,,,,,,0.0195709514617919,2.514843437495117,0.0169444990158081,1.526995332041016,0.0113842861652374,1.3270020113596197,0.4414865612983704,0.2383646846,45.48593622119138,10.8422408411,0.3182422,15.622786418645925,4.97182992,636207104.0,2183188.748869506,1491025920.0,1138688.0,4387194470.4,3166256.8548882827,1498284032.0,0.0,4725945139.2,3582848.1601428995,2078277632.0,0.0
resnet152,11558837248.0,60192808.0,240771232.0,23117674496.0,78.31,94.046,21.689999999999998,5.9539999999999935,78.312,94.046,21.688000000000002,5.9539999999999935,0.6823603835184111,0.5296834323629384,0.8994249711592671,0.6557612629728937,,,,,,,,,0.0288387107849121,3.817055328583984,0.0254853224754333,2.526346076586914,0.0168313241004943,1.9569475862314465,0.6474967551231384,0.3386218916,45.60819432325208,15.4439330342,0.45274525,15.913960356293082,7.20496996,778522624.0,12110096.197718794,1609386393.6,164036.49017654578,4511022284.8,3380714.8329248005,1515061248.0,0.0,4847163801.6,2883592.8436228028,2095054848.0,0.0
resnet18,1819066368.0,11689512.0,46758048.0,3638132736.0,69.76,89.076,30.239999999999995,10.924000000000007,69.758,89.078,30.242000000000004,10.921999999999997,0.8450173596972435,0.7473226487980318,1.0202472256057098,0.8615538287396513,0.797321629232745,0.0836640666666666,,,,,6.5532,1.220703125e-07,0.0039642739295959,0.2784780075,0.0033528733253479,0.2703480955664062,0.0023422536849975,0.2803774086799317,0.0861387991905212,0.0489005747,44.63123209674671,2.1824928991,0.06587525,14.849418560081364,0.9782091599999998,537368166.4,17157324.799999997,1286100582.4,132437.05182100664,4338839552.0,0.0,1515061248.0,0.0,4692439040.0,0.0,2095054848.0,0.0
resnet34,3671263232.0,21797672.0,87190688.0,7342526464.0,73.314,91.418,26.686000000000007,8.581999999999994,73.314,91.42,26.686000000000007,8.579999999999998,0.7758810583666491,0.6509724945579601,0.9665167913216328,0.7734072127156603,,,,,,,,,0.0068860816955566,0.7686097129492186,0.0056187486648559,0.4745083256640625,0.003912318944931,0.4883546441853027,0.1575546956062317,0.0848962132,45.053578607673394,3.8248782149,0.11575437,15.70959437643693,1.8184542,566702080.0,32768.0,1327165440.0,40960.0,4338837913.6,3276.8,1515061248.0,0.0,4692439040.0,0.0,2095054848.0,0.0
resnet50,4111514624.0,25557032.0,102228128.0,8223029248.0,76.132,92.862,23.867999999999995,7.138000000000005,76.13,92.862,23.870000000000005,7.138000000000005,0.7641407625161497,0.6362962635917006,1.022462411658408,0.7907899643521827,,,,,,,,,0.010430269241333,1.325097157236328,0.0086518239974975,0.8201301158447265,0.0060791521072387,0.7427571300954591,0.26124436378479,0.1368385819,45.32616599047056,6.202368277100001,0.1923397999999999,14.170032203423316,2.72546116,537251840.0,0.0,1339416576.0,684686.5562857211,4338837913.6,3276.8000000000006,1515061248.0,0.0,4642792243.2,24823399.211035565,2095054848.0,0.0
resnext101_32x8d,16476536832.0,88791336.0,355165344.0,32953073664.0,79.31,94.528,20.689999999999998,5.471999999999994,79.312,94.526,20.688000000000002,5.474000000000004,0.6642982591986453,0.5143331315094438,0.8879490289488909,0.6447070654926688,,,,,,,,,0.0451868271827697,6.046137440510255,0.0150496220588684,2.4334685427685545,0.0155319979190826,2.3786834485373523,0.8868478202819824,0.4528522901999999,47.21257612931026,21.3803232264,0.64297962,14.937486416754547,9.60449934,1035130470.4,366115.501719116,1849746227.2,492668.269396112,4761315737.6,4773233.561594639,1607335936.0,0.0,5088069222.4,767020.59533903,2149580800.0,0.0
resnext50_32x4d,4259383296.0,25028904.0,100115616.0,8518766592.0,77.62,93.698,22.379999999999995,6.302000000000007,77.618,93.698,22.382000000000005,6.302000000000007,0.7198237122468113,0.5829970090978935,0.961187369536928,0.7268364473570705,,,,,,,,,0.0180833339691162,2.1390810879077145,0.0083463382720947,0.8958026789160155,0.0068799383640289,0.8607857997485353,0.287421543598175,0.1578396529,45.79280354714972,7.227920217200001,0.21431623,14.708061913929711,3.1521763800000007,659768934.4,41462988.8,1350548684.8,88055.42655941201,4548129587.2,1638.4,1607335936.0,0.0,4942553088.0,0.0,2149580800.0,0.0
